const,cast,cast_id,cover_url,genres,plot,rating,title,year
4016934,"Min-hee Kim, Tae-ri Kim, Jung-woo Ha","['1195119', '3892241', '1978402', '2437361', '1390122', '0600668', '8621200', '8621198', '6844249', '8621197']","https://m.media-amazon.com/images/M/MV5BN2NhZjk1ZGEtNzAxNy00ZWI4LWI5ZDItYTVmY2JmZDg2M2U4XkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_SY150_CR0,0,101,150_.jpg","Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",8.1,The Handmaiden,2016
48545,"James Dean, Natalie Wood, Sal Mineo","['0000015', '0000081', '0000543', '0000822', '0233352', '0001904', '0394438', '0399955', '0000454', '0686857']","https://m.media-amazon.com/images/M/MV5BMjMwNWIwYzAtMWVhZi00YzQ2LTlmNGYtOTg3NDdkNTRjOWI2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX101_CR0,0,101,150_.jpg",Drama,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",7.8,Rebel Without a Cause,1955
98554,"John Candy, Jean Louisa Kelly, Gaby Hoffmann","['0001006', '0446465', '0000451', '0000346', '0001496', '0111328', '0113595', '0582418', '0001809', '0850211']","https://m.media-amazon.com/images/M/MV5BMjIwOWVkNzMtZTIyZC00ZWM0LTg5MWYtMWYwYjVhZTM3MDMzXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX101_CR0,0,101,150_.jpg",Comedy,"Bachelor and all round slob, Buck, babysits his brother's rebellious teenage daughter and her cute younger brother and sister.",7.0,Uncle Buck,1989
455967,"Jesse Metcalfe, Brittany Snow, Ashanti","['0582462', '0811242', '0038680', '0124208', '0444223', '0046112', '0000189', '1275545', '0574081', '0236983']","https://m.media-amazon.com/images/M/MV5BMTI3MDkwODQ3OV5BMl5BanBnXkFtZTcwNTE4NDQzMQ@@._V1_SY150_CR0,0,101,150_.jpg","Comedy, Romance",Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.,5.8,John Tucker Must Die,2006
104797,"Denzel Washington, Angela Bassett, Albert Hall","['0000243', '0000291', '0355278', '0293272', '0005148', '0000490', '0005337', '0894690', '0571188', '0391218']","https://m.media-amazon.com/images/M/MV5BZDkzOTFmMTUtMmI2OS00MDE4LTg5YTUtODMwNDMzNmI5OGYwL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR5,0,101,150_.jpg","Biography, Drama, History","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",7.7,Malcolm X,1992
457510,"Jack Black, Ana de la Reguera, Héctor Jiménez","['0085312', '0478886', '0422948', '1377265', '2030779', '4217572', '1550638', '0600247', '1101848', '0598885']","https://m.media-amazon.com/images/M/MV5BN2ZkNDgxMjMtZmRiYS00MzFkLTk5ZjgtZDJkZWMzYmUxYjg4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SY150_CR0,0,101,150_.jpg","Comedy, Family, Sport","Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",5.7,Nacho Libre,2006
383216,"Steve Martin, Kevin Kline, Jean Reno","['0000188', '0000177', '0000606', '0607865', '0001089', '0155693', '0715953', '0461498', '0329534', '0305488']","https://m.media-amazon.com/images/M/MV5BNGI2MjVlNzEtZDg1ZS00MGU1LWFhNTQtNzMwZDViOWRkNzhkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX101_CR0,0,101,150_.jpg","Adventure, Comedy, Crime",Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,5.6,The Pink Panther,2006
307479,"George Clooney, Natascha McElhone, Viola Davis","['0000123', '0001523', '0205626', '0001111', '0876300', '0158626', '0750851', '1285261', '0453797', '0258117']","https://m.media-amazon.com/images/M/MV5BNzlkNGE0MmMtMzU4YS00ZDU1LWFhMTktZDRjMGU5MjI1MzRlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SY150_CR0,0,101,150_.jpg","Drama, Mystery, Romance",A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,6.2,Solaris,2002
88011,"Michael Douglas, Kathleen Turner, Danny DeVito","['0000140', '0000678', '0000362', '0635649', '0000778', '0645327', '0852466', '0870729', '0808188', '0626460']","https://m.media-amazon.com/images/M/MV5BMDAwNjljMzEtMTc3Yy00NDg2LThjNDAtNjc0NGYyYjM2M2I1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SY150_CR1,0,101,150_.jpg","Action, Adventure, Comedy","A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.",6.9,Romancing the Stone,1984
100502,"John Glover, Mario Machado, Leeza Gibbons","['0001278', '0532478', '0004957', '0408834', '0006888', '0114578', '0001679', '0278137', '0368813', '0850638']","https://m.media-amazon.com/images/M/MV5BNGQ5ZjI3YzYtNjM2Ni00MTFjLWEyOWMtOTEwNjI5MThlZTlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg","Action, Crime, Sci-Fi","Cyborg law enforcer RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2.",5.8,RoboCop 2,1990
